,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,265.0,265.0,46.0,108.0,0.426,13.0,43.0,0.302,22.0,28.0,0.786,12.0,40.0,52.0,23.0,9.0,4.0,13.0,22.0,127.0,,0.528,0.486,0.398,0.259,24.0,80.0,52.0,50.0,7.7,6.0,9.8,100.0,109.3,108.5,,,11.0,27.0,0.625,7.0,11.0,0.636,7.0,8.0,1.0,5.0,13.0,14.0,7.0,3.0,3.0,3.0,5.0,36.0,22.0,0.717,0.714,0.857,1.6,14.6,35.6,19.2,40.7,6.4,6.1,28.6,31.7,153.0,116.0,MIN,12,0,1,265.0,265.0,48.0,101.0,0.475,15.0,34.0,0.441,15.0,26.0,0.577,10.0,38.0,48.0,19.0,8.0,9.0,16.0,30.0,126.0,,0.56,0.55,0.337,0.257,20.0,76.0,48.0,39.6,6.9,13.8,12.5,100.0,108.5,109.3,,,17.0,33.0,0.556,7.0,14.0,0.667,9.0,10.0,1.0,3.0,8.0,11.0,7.0,3.0,5.0,5.0,4.0,50.0,19.0,0.778,0.778,0.667,2.0,8.7,28.9,14.5,39.8,5.4,11.2,53.2,42.0,147.0,116.0,BRK,11,1,2020,2019-10-23,True
11,265.0,265.0,48.0,101.0,0.475,15.0,34.0,0.441,15.0,26.0,0.577,10.0,38.0,48.0,19.0,8.0,9.0,16.0,30.0,126.0,,0.56,0.55,0.337,0.257,20.0,76.0,48.0,39.6,6.9,13.8,12.5,100.0,108.5,109.3,,,17.0,33.0,0.556,7.0,14.0,0.667,9.0,10.0,1.0,3.0,8.0,11.0,7.0,3.0,5.0,5.0,4.0,50.0,19.0,0.778,0.778,0.667,2.0,8.7,28.9,14.5,39.8,5.4,11.2,53.2,42.0,147.0,116.0,BRK,11,1,0,265.0,265.0,46.0,108.0,0.426,13.0,43.0,0.302,22.0,28.0,0.786,12.0,40.0,52.0,23.0,9.0,4.0,13.0,22.0,127.0,,0.528,0.486,0.398,0.259,24.0,80.0,52.0,50.0,7.7,6.0,9.8,100.0,109.3,108.5,,,11.0,27.0,0.625,7.0,11.0,0.636,7.0,8.0,1.0,5.0,13.0,14.0,7.0,3.0,3.0,3.0,5.0,36.0,22.0,0.717,0.714,0.857,1.6,14.6,35.6,19.2,40.7,6.4,6.1,28.6,31.7,153.0,116.0,MIN,12,0,2020,2019-10-23,False
12,240.0,240.0,38.0,89.0,0.427,5.0,32.0,0.156,20.0,30.0,0.667,9.0,31.0,40.0,22.0,9.0,7.0,24.0,31.0,101.0,,0.494,0.455,0.36,0.337,18.4,73.8,44.0,57.9,8.0,10.4,19.0,100.0,90.2,107.2,,,6.0,12.0,0.5,2.0,9.0,1.0,7.0,9.0,1.0,3.0,5.0,8.0,7.0,2.0,2.0,6.0,5.0,17.0,6.0,0.621,0.583,0.833,0.75,20.7,48.3,33.4,91.9,15.6,15.1,30.4,40.2,136.0,115.0,MEM,101,0,1,240.0,240.0,40.0,85.0,0.471,7.0,18.0,0.389,33.0,39.0,0.846,11.0,40.0,51.0,18.0,9.0,8.0,21.0,33.0,120.0,,0.587,0.512,0.212,0.459,26.2,81.6,56.0,45.0,8.0,14.0,17.1,100.0,107.2,90.2,,,10.0,21.0,1.0,2.0,5.0,1.0,9.0,10.0,1.0,4.0,8.0,11.0,7.0,2.0,3.0,5.0,5.0,27.0,27.0,1.031,1.0,1.0,1.429,30.1,84.0,45.2,33.6,3.2,22.2,100.0,33.4,139.0,99.0,MIA,120,1,2020,2019-10-23,False
13,240.0,240.0,40.0,85.0,0.471,7.0,18.0,0.389,33.0,39.0,0.846,11.0,40.0,51.0,18.0,9.0,8.0,21.0,33.0,120.0,,0.587,0.512,0.212,0.459,26.2,81.6,56.0,45.0,8.0,14.0,17.1,100.0,107.2,90.2,,,10.0,21.0,1.0,2.0,5.0,1.0,9.0,10.0,1.0,4.0,8.0,11.0,7.0,2.0,3.0,5.0,5.0,27.0,27.0,1.031,1.0,1.0,1.429,30.1,84.0,45.2,33.6,3.2,22.2,100.0,33.4,139.0,99.0,MIA,120,1,0,240.0,240.0,38.0,89.0,0.427,5.0,32.0,0.156,20.0,30.0,0.667,9.0,31.0,40.0,22.0,9.0,7.0,24.0,31.0,101.0,,0.494,0.455,0.36,0.337,18.4,73.8,44.0,57.9,8.0,10.4,19.0,100.0,90.2,107.2,,,6.0,12.0,0.5,2.0,9.0,1.0,7.0,9.0,1.0,3.0,5.0,8.0,7.0,2.0,2.0,6.0,5.0,17.0,6.0,0.621,0.583,0.833,0.75,20.7,48.3,33.4,91.9,15.6,15.1,30.4,40.2,136.0,115.0,MEM,101,0,2020,2019-10-23,True
14,240.0,240.0,33.0,90.0,0.367,7.0,26.0,0.269,20.0,34.0,0.588,10.0,31.0,41.0,18.0,4.0,2.0,10.0,29.0,93.0,,0.443,0.406,0.289,0.378,16.7,72.1,39.8,54.5,3.9,3.6,8.7,100.0,91.4,105.2,,,8.0,22.0,0.625,4.0,8.0,0.5,9.0,11.0,0.818,3.0,9.0,10.0,8.0,2.0,1.0,4.0,5.0,25.0,7.0,0.63,0.625,1.0,4.0,9.6,37.4,15.6,38.6,4.4,8.7,14.6,30.7,131.0,113.0,BOS,93,0,1,240.0,240.0,37.0,85.0,0.435,7.0,29.0,0.241,26.0,36.0,0.722,12.0,50.0,62.0,24.0,6.0,7.0,15.0,34.0,107.0,,0.531,0.476,0.341,0.424,27.9,83.3,60.2,64.9,5.9,10.9,12.9,100.0,105.2,91.4,,,11.0,16.0,1.0,2.0,6.0,1.0,9.0,9.0,1.0,4.0,14.0,15.0,9.0,2.0,3.0,4.0,5.0,24.0,22.0,1.25,1.25,0.667,1.333,19.2,31.0,26.1,100.0,4.4,9.7,38.7,31.2,250.0,101.0,PHI,107,1,2020,2019-10-23,True
15,240.0,240.0,37.0,85.0,0.435,7.0,29.0,0.241,26.0,36.0,0.722,12.0,50.0,62.0,24.0,6.0,7.0,15.0,34.0,107.0,,0.531,0.476,0.341,0.424,27.9,83.3,60.2,64.9,5.9,10.9,12.9,100.0,105.2,91.4,,,11.0,16.0,1.0,2.0,6.0,1.0,9.0,9.0,1.0,4.0,14.0,15.0,9.0,2.0,3.0,4.0,5.0,24.0,22.0,1.25,1.25,0.667,1.333,19.2,31.0,26.1,100.0,4.4,9.7,38.7,31.2,250.0,101.0,PHI,107,1,0,240.0,240.0,33.0,90.0,0.367,7.0,26.0,0.269,20.0,34.0,0.588,10.0,31.0,41.0,18.0,4.0,2.0,10.0,29.0,93.0,,0.443,0.406,0.289,0.378,16.7,72.1,39.8,54.5,3.9,3.6,8.7,100.0,91.4,105.2,,,8.0,22.0,0.625,4.0,8.0,0.5,9.0,11.0,0.818,3.0,9.0,10.0,8.0,2.0,1.0,4.0,5.0,25.0,7.0,0.63,0.625,1.0,4.0,9.6,37.4,15.6,38.6,4.4,8.7,14.6,30.7,131.0,113.0,BOS,93,0,2020,2019-10-23,False
16,240.0,240.0,37.0,93.0,0.398,11.0,41.0,0.268,15.0,18.0,0.833,11.0,36.0,47.0,26.0,6.0,3.0,17.0,32.0,100.0,,0.495,0.457,0.441,0.194,21.2,87.8,50.5,70.3,5.8,7.5,14.4,100.0,96.4,104.2,,,7.0,25.0,0.8,3.0,11.0,0.75,6.0,6.0,1.0,4.0,7.0,11.0,9.0,3.0,1.0,5.0,6.0,19.0,5.0,1.105,1.1,1.0,0.667,14.9,28.3,20.8,100.0,4.4,6.2,46.0,38.0,230.0,110.0,WAS,100,0,1,240.0,240.0,35.0,76.0,0.461,11.0,36.0,0.306,27.0,33.0,0.818,5.0,41.0,46.0,17.0,6.0,5.0,19.0,22.0,108.0,,0.597,0.533,0.474,0.434,12.2,78.8,49.5,48.6,5.8,9.6,17.3,100.0,104.2,96.4,,,12.0,19.0,0.667,4.0,9.0,1.0,7.0,8.0,1.0,2.0,8.0,9.0,3.0,2.0,3.0,6.0,4.0,34.0,18.0,0.868,0.75,1.0,2.0,7.3,27.4,17.5,24.1,3.8,11.8,75.0,37.3,190.0,104.0,DAL,108,1,2020,2019-10-23,False
17,240.0,240.0,35.0,76.0,0.461,11.0,36.0,0.306,27.0,33.0,0.818,5.0,41.0,46.0,17.0,6.0,5.0,19.0,22.0,108.0,,0.597,0.533,0.474,0.434,12.2,78.8,49.5,48.6,5.8,9.6,17.3,100.0,104.2,96.4,,,12.0,19.0,0.667,4.0,9.0,1.0,7.0,8.0,1.0,2.0,8.0,9.0,3.0,2.0,3.0,6.0,4.0,34.0,18.0,0.868,0.75,1.0,2.0,7.3,27.4,17.5,24.1,3.8,11.8,75.0,37.3,190.0,104.0,DAL,108,1,0,240.0,240.0,37.0,93.0,0.398,11.0,41.0,0.268,15.0,18.0,0.833,11.0,36.0,47.0,26.0,6.0,3.0,17.0,32.0,100.0,,0.495,0.457,0.441,0.194,21.2,87.8,50.5,70.3,5.8,7.5,14.4,100.0,96.4,104.2,,,7.0,25.0,0.8,3.0,11.0,0.75,6.0,6.0,1.0,4.0,7.0,11.0,9.0,3.0,1.0,5.0,6.0,19.0,5.0,1.105,1.1,1.0,0.667,14.9,28.3,20.8,100.0,4.4,6.2,46.0,38.0,230.0,110.0,WAS,100,0,2020,2019-10-23,True
18,240.0,240.0,44.0,94.0,0.468,10.0,30.0,0.333,13.0,18.0,0.722,5.0,34.0,39.0,24.0,16.0,1.0,14.0,32.0,111.0,,0.545,0.521,0.319,0.191,10.9,77.3,43.3,54.5,14.7,1.6,12.1,100.0,101.9,110.2,,,10.0,18.0,0.692,3.0,7.0,0.75,5.0,6.0,1.0,2.0,10.0,11.0,8.0,5.0,1.0,3.0,5.0,26.0,14.0,0.722,0.731,1.0,0.333,14.0,30.8,16.6,40.2,15.2,6.0,66.7,42.8,134.0,120.0,NYK,111,0,1,240.0,240.0,42.0,83.0,0.506,7.0,21.0,0.333,29.0,36.0,0.806,10.0,41.0,51.0,22.0,6.0,5.0,21.0,18.0,120.0,,0.607,0.548,0.253,0.434,22.7,89.1,56.7,52.4,5.5,7.8,17.5,100.0,110.2,101.9,,,8.0,15.0,0.75,3.0,6.0,1.0,7.0,11.0,1.0,4.0,10.0,11.0,6.0,3.0,2.0,4.0,4.0,22.0,9.0,0.82,0.75,0.545,1.1,13.5,43.0,24.2,43.4,5.6,4.7,26.1,32.3,165.0,108.0,SAS,120,1,2020,2019-10-23,False
19,240.0,240.0,42.0,83.0,0.506,7.0,21.0,0.333,29.0,36.0,0.806,10.0,41.0,51.0,22.0,6.0,5.0,21.0,18.0,120.0,,0.607,0.548,0.253,0.434,22.7,89.1,56.7,52.4,5.5,7.8,17.5,100.0,110.2,101.9,,,8.0,15.0,0.75,3.0,6.0,1.0,7.0,11.0,1.0,4.0,10.0,11.0,6.0,3.0,2.0,4.0,4.0,22.0,9.0,0.82,0.75,0.545,1.1,13.5,43.0,24.2,43.4,5.6,4.7,26.1,32.3,165.0,108.0,SAS,120,1,0,240.0,240.0,44.0,94.0,0.468,10.0,30.0,0.333,13.0,18.0,0.722,5.0,34.0,39.0,24.0,16.0,1.0,14.0,32.0,111.0,,0.545,0.521,0.319,0.191,10.9,77.3,43.3,54.5,14.7,1.6,12.1,100.0,101.9,110.2,,,10.0,18.0,0.692,3.0,7.0,0.75,5.0,6.0,1.0,2.0,10.0,11.0,8.0,5.0,1.0,3.0,5.0,26.0,14.0,0.722,0.731,1.0,0.333,14.0,30.8,16.6,40.2,15.2,6.0,66.7,42.8,134.0,120.0,NYK,111,0,2020,2019-10-23,True
