,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
10,240.0,240.0,39.0,85.0,0.459,13.0,27.0,0.481,16.0,23.0,0.696,5.0,35.0,40.0,28.0,7.0,4.0,19.0,26.0,107.0,,0.562,0.535,0.318,0.271,11.9,77.8,46.0,71.8,6.6,6.8,16.6,100.0,101.2,106.9,,,11.0,22.0,1.0,4.0,8.0,1.0,6.0,7.0,1.0,2.0,9.0,11.0,15.0,4.0,1.0,6.0,5.0,31.0,14.0,1.215,1.5,1.0,3.0,6.9,36.1,18.6,73.2,5.4,4.9,40.0,36.6,207.0,115.0,WAS,107,0,1,240.0,240.0,41.0,87.0,0.471,8.0,28.0,0.286,23.0,30.0,0.767,10.0,37.0,47.0,22.0,11.0,8.0,16.0,25.0,113.0,,0.564,0.517,0.322,0.345,22.2,88.1,54.0,53.7,10.4,13.8,13.8,100.0,106.9,101.2,,,10.0,17.0,1.0,3.0,6.0,1.0,8.0,9.0,1.0,4.0,12.0,14.0,7.0,3.0,3.0,4.0,4.0,29.0,33.0,1.0,1.0,1.0,0.636,24.3,60.8,41.9,33.8,5.0,8.2,50.0,28.4,145.0,108.0,PHI,113,1,2021,2020-12-23,False
11,240.0,240.0,41.0,87.0,0.471,8.0,28.0,0.286,23.0,30.0,0.767,10.0,37.0,47.0,22.0,11.0,8.0,16.0,25.0,113.0,,0.564,0.517,0.322,0.345,22.2,88.1,54.0,53.7,10.4,13.8,13.8,100.0,106.9,101.2,,,10.0,17.0,1.0,3.0,6.0,1.0,8.0,9.0,1.0,4.0,12.0,14.0,7.0,3.0,3.0,4.0,4.0,29.0,33.0,1.0,1.0,1.0,0.636,24.3,60.8,41.9,33.8,5.0,8.2,50.0,28.4,145.0,108.0,PHI,113,1,0,240.0,240.0,39.0,85.0,0.459,13.0,27.0,0.481,16.0,23.0,0.696,5.0,35.0,40.0,28.0,7.0,4.0,19.0,26.0,107.0,,0.562,0.535,0.318,0.271,11.9,77.8,46.0,71.8,6.6,6.8,16.6,100.0,101.2,106.9,,,11.0,22.0,1.0,4.0,8.0,1.0,6.0,7.0,1.0,2.0,9.0,11.0,15.0,4.0,1.0,6.0,5.0,31.0,14.0,1.215,1.5,1.0,3.0,6.9,36.1,18.6,73.2,5.4,4.9,40.0,36.6,207.0,115.0,WAS,107,0,2021,2020-12-23,True
12,240.0,240.0,42.0,80.0,0.525,19.0,42.0,0.452,10.0,20.0,0.5,8.0,37.0,45.0,30.0,13.0,7.0,24.0,17.0,113.0,,0.636,0.644,0.525,0.25,22.2,84.1,56.3,71.4,12.5,16.3,21.3,100.0,108.6,95.2,,,10.0,19.0,0.778,6.0,11.0,0.545,4.0,6.0,1.0,4.0,9.0,10.0,11.0,4.0,2.0,6.0,4.0,24.0,17.0,0.796,0.786,1.0,0.667,18.0,28.1,20.3,48.5,6.0,7.8,100.0,32.9,160.0,106.0,NOP,113,0,1,240.0,240.0,38.0,89.0,0.427,14.0,46.0,0.304,9.0,12.0,0.75,7.0,28.0,35.0,26.0,10.0,5.0,20.0,22.0,99.0,,0.525,0.506,0.517,0.135,15.9,77.8,43.8,68.4,9.6,13.2,17.5,100.0,95.2,108.6,,,8.0,17.0,0.75,4.0,9.0,0.6,7.0,8.0,0.875,2.0,8.0,9.0,10.0,3.0,2.0,6.0,4.0,20.0,4.0,0.75,0.75,1.0,0.727,14.8,38.0,20.3,42.5,4.7,23.0,100.0,33.2,157.0,118.0,TOR,99,1,2021,2020-12-23,False
13,240.0,240.0,38.0,89.0,0.427,14.0,46.0,0.304,9.0,12.0,0.75,7.0,28.0,35.0,26.0,10.0,5.0,20.0,22.0,99.0,,0.525,0.506,0.517,0.135,15.9,77.8,43.8,68.4,9.6,13.2,17.5,100.0,95.2,108.6,,,8.0,17.0,0.75,4.0,9.0,0.6,7.0,8.0,0.875,2.0,8.0,9.0,10.0,3.0,2.0,6.0,4.0,20.0,4.0,0.75,0.75,1.0,0.727,14.8,38.0,20.3,42.5,4.7,23.0,100.0,33.2,157.0,118.0,TOR,99,1,0,240.0,240.0,42.0,80.0,0.525,19.0,42.0,0.452,10.0,20.0,0.5,8.0,37.0,45.0,30.0,13.0,7.0,24.0,17.0,113.0,,0.636,0.644,0.525,0.25,22.2,84.1,56.3,71.4,12.5,16.3,21.3,100.0,108.6,95.2,,,10.0,19.0,0.778,6.0,11.0,0.545,4.0,6.0,1.0,4.0,9.0,10.0,11.0,4.0,2.0,6.0,4.0,24.0,17.0,0.796,0.786,1.0,0.667,18.0,28.1,20.3,48.5,6.0,7.8,100.0,32.9,160.0,106.0,NOP,113,0,2021,2020-12-23,True
14,240.0,240.0,46.0,90.0,0.511,14.0,35.0,0.4,15.0,18.0,0.833,11.0,41.0,52.0,19.0,4.0,6.0,16.0,20.0,121.0,,0.618,0.589,0.389,0.2,28.9,80.4,58.4,41.3,4.0,9.8,14.0,100.0,121.1,122.1,,,13.0,26.0,0.75,3.0,8.0,0.75,6.0,8.0,1.0,2.0,12.0,14.0,8.0,2.0,2.0,7.0,5.0,35.0,22.0,1.0,1.0,1.0,0.667,9.3,36.5,20.9,30.8,3.5,6.1,33.3,42.3,187.0,130.0,MIL,121,0,1,240.0,240.0,48.0,101.0,0.475,18.0,40.0,0.45,8.0,11.0,0.727,10.0,27.0,37.0,23.0,8.0,6.0,6.0,17.0,122.0,,0.576,0.564,0.396,0.109,19.6,71.1,41.6,47.9,8.0,10.9,5.4,100.0,122.1,121.1,,,13.0,28.0,1.0,6.0,13.0,1.0,4.0,4.0,1.0,4.0,7.0,8.0,7.0,2.0,2.0,2.0,3.0,33.0,20.0,1.025,1.25,0.8,1.333,22.6,26.9,19.3,22.2,3.8,7.0,33.3,39.2,203.0,126.0,BOS,122,1,2021,2020-12-23,False
15,240.0,240.0,48.0,101.0,0.475,18.0,40.0,0.45,8.0,11.0,0.727,10.0,27.0,37.0,23.0,8.0,6.0,6.0,17.0,122.0,,0.576,0.564,0.396,0.109,19.6,71.1,41.6,47.9,8.0,10.9,5.4,100.0,122.1,121.1,,,13.0,28.0,1.0,6.0,13.0,1.0,4.0,4.0,1.0,4.0,7.0,8.0,7.0,2.0,2.0,2.0,3.0,33.0,20.0,1.025,1.25,0.8,1.333,22.6,26.9,19.3,22.2,3.8,7.0,33.3,39.2,203.0,126.0,BOS,122,1,0,240.0,240.0,46.0,90.0,0.511,14.0,35.0,0.4,15.0,18.0,0.833,11.0,41.0,52.0,19.0,4.0,6.0,16.0,20.0,121.0,,0.618,0.589,0.389,0.2,28.9,80.4,58.4,41.3,4.0,9.8,14.0,100.0,121.1,122.1,,,13.0,26.0,0.75,3.0,8.0,0.75,6.0,8.0,1.0,2.0,12.0,14.0,8.0,2.0,2.0,7.0,5.0,35.0,22.0,1.0,1.0,1.0,0.667,9.3,36.5,20.9,30.8,3.5,6.1,33.3,42.3,187.0,130.0,MIL,121,0,2021,2020-12-23,True
16,240.0,240.0,43.0,80.0,0.538,14.0,35.0,0.4,24.0,29.0,0.828,8.0,38.0,46.0,24.0,6.0,3.0,21.0,29.0,124.0,,0.668,0.625,0.438,0.363,21.6,82.6,55.4,55.8,5.8,5.8,18.5,100.0,119.4,100.1,,,10.0,12.0,0.833,5.0,8.0,1.0,12.0,14.0,1.0,3.0,7.0,7.0,7.0,2.0,2.0,4.0,4.0,37.0,40.0,1.019,1.042,1.0,1.167,51.2,29.3,34.2,52.8,5.1,10.2,50.0,36.0,171.0,108.0,ATL,124,0,1,240.0,240.0,36.0,87.0,0.414,8.0,35.0,0.229,24.0,28.0,0.857,8.0,29.0,37.0,20.0,10.0,3.0,15.0,22.0,104.0,,0.524,0.46,0.402,0.322,17.4,78.4,44.6,55.6,9.6,6.7,13.1,100.0,100.1,119.4,,,9.0,19.0,0.667,4.0,8.0,0.667,5.0,6.0,1.0,3.0,6.0,7.0,7.0,2.0,1.0,5.0,5.0,22.0,6.0,0.938,0.889,0.667,1.0,13.4,27.9,15.6,33.6,4.0,6.4,33.8,42.0,159.0,123.0,CHI,104,1,2021,2020-12-23,True
17,240.0,240.0,36.0,87.0,0.414,8.0,35.0,0.229,24.0,28.0,0.857,8.0,29.0,37.0,20.0,10.0,3.0,15.0,22.0,104.0,,0.524,0.46,0.402,0.322,17.4,78.4,44.6,55.6,9.6,6.7,13.1,100.0,100.1,119.4,,,9.0,19.0,0.667,4.0,8.0,0.667,5.0,6.0,1.0,3.0,6.0,7.0,7.0,2.0,1.0,5.0,5.0,22.0,6.0,0.938,0.889,0.667,1.0,13.4,27.9,15.6,33.6,4.0,6.4,33.8,42.0,159.0,123.0,CHI,104,1,0,240.0,240.0,43.0,80.0,0.538,14.0,35.0,0.4,24.0,29.0,0.828,8.0,38.0,46.0,24.0,6.0,3.0,21.0,29.0,124.0,,0.668,0.625,0.438,0.363,21.6,82.6,55.4,55.8,5.8,5.8,18.5,100.0,119.4,100.1,,,10.0,12.0,0.833,5.0,8.0,1.0,12.0,14.0,1.0,3.0,7.0,7.0,7.0,2.0,2.0,4.0,4.0,37.0,40.0,1.019,1.042,1.0,1.167,51.2,29.3,34.2,52.8,5.1,10.2,50.0,36.0,171.0,108.0,ATL,124,0,2021,2020-12-23,False
18,240.0,240.0,48.0,95.0,0.505,10.0,25.0,0.4,25.0,29.0,0.862,8.0,40.0,48.0,28.0,8.0,8.0,10.0,18.0,131.0,,0.608,0.558,0.263,0.305,17.8,88.9,53.3,58.3,7.4,11.8,8.5,100.0,121.6,110.5,,,9.0,17.0,0.667,3.0,5.0,0.75,14.0,15.0,1.0,4.0,7.0,9.0,9.0,3.0,3.0,3.0,4.0,28.0,14.0,0.847,0.833,0.556,1.071,22.2,35.4,19.4,41.6,4.2,10.0,15.9,27.5,151.0,116.0,SAS,131,0,1,240.0,240.0,49.0,95.0,0.516,10.0,27.0,0.37,11.0,18.0,0.611,5.0,37.0,42.0,27.0,6.0,8.0,11.0,20.0,119.0,,0.578,0.568,0.284,0.189,11.1,82.2,46.7,55.1,5.6,11.4,9.7,100.0,110.5,121.6,,,18.0,27.0,0.667,2.0,6.0,1.0,7.0,8.0,1.0,3.0,10.0,13.0,9.0,2.0,2.0,2.0,6.0,44.0,10.0,0.833,0.833,0.857,0.545,10.8,37.0,23.5,50.3,3.8,11.7,25.4,37.8,145.0,128.0,MEM,119,1,2021,2020-12-23,True
19,240.0,240.0,49.0,95.0,0.516,10.0,27.0,0.37,11.0,18.0,0.611,5.0,37.0,42.0,27.0,6.0,8.0,11.0,20.0,119.0,,0.578,0.568,0.284,0.189,11.1,82.2,46.7,55.1,5.6,11.4,9.7,100.0,110.5,121.6,,,18.0,27.0,0.667,2.0,6.0,1.0,7.0,8.0,1.0,3.0,10.0,13.0,9.0,2.0,2.0,2.0,6.0,44.0,10.0,0.833,0.833,0.857,0.545,10.8,37.0,23.5,50.3,3.8,11.7,25.4,37.8,145.0,128.0,MEM,119,1,0,240.0,240.0,48.0,95.0,0.505,10.0,25.0,0.4,25.0,29.0,0.862,8.0,40.0,48.0,28.0,8.0,8.0,10.0,18.0,131.0,,0.608,0.558,0.263,0.305,17.8,88.9,53.3,58.3,7.4,11.8,8.5,100.0,121.6,110.5,,,9.0,17.0,0.667,3.0,5.0,0.75,14.0,15.0,1.0,4.0,7.0,9.0,9.0,3.0,3.0,3.0,4.0,28.0,14.0,0.847,0.833,0.556,1.071,22.2,35.4,19.4,41.6,4.2,10.0,15.9,27.5,151.0,116.0,SAS,131,0,2021,2020-12-23,False
